Country_id;Country_name;touristArrivals
1;France;89400000
2;Spain;83700000
3;United States;79300000
4;China;65700000
5;Italy;64500000
6;Turkey;51200000
7;Mexico;45000000
8;Thailand;39800000
9;Germany;39600000
10;United Kingdom;39400000
11;Japan;32300000
12;Austria;31900000
13;Greece;31300000
14;Malaysia;26100000
15;Portugal;24600000
16;Russia;24400000
17;Hong Kong;23800000
18;Poland;22100000
19;Canada;22100000
20;Netherlands;20100000
21;Vietnam;18000000
22;India;17900000
23;South Korea;17500000
24;Croatia;17400000
25;Hungary;16900000
26;United Arab Emirates;16700000
27;Indonesia;15500000
28;Singapore;15100000
29;Czech Republic;14300000
30;Ukraine;14200000
31;Saudi Arabia;13600000
32;Denmark;13300000
33;Morocco;12900000
34;Taiwan;11900000
35;Switzerland;11800000
36;Egypt;11300000
37;Ireland;10900000
38;South Africa;10200000
39;Australia;9500000
40;Tunisia;9400000
41;Belgium;9300000
42;Bulgaria;9300000
43;Philippines;8300000
44;Argentina;7400000
45;Sweden;7400000
46;Iran;7300000
47;Kyrgyzstan;6900000
48;Uzbekistan;6700000
49;Cambodia;6600000
